STT, ID, FirstName, LastName,Gender,DOB,SocialID
1,72629021,Merrielle,Orht,Nam,27/02/2002,260546322
2,24922870,Hettie,Itshak,Nu,19/05/2001,311751450
3,28623309,Margaux,Tomankowski,Nu,5/2/2000,350112130
4,32061142,Enoch,Frape,Nu,5/8/2002,429490041
5,17202127,Duffy,Smowton,Nam,10/2/2001,530818887
6,73127172,Nan,Baigent,Nam,17/08/2001,362453918
7,89995994,Sandye,Peteri,Nu,7/7/2001,378716148
8,51931613,Mirella,Seiter,Nu,20/10/2000,886431406
9,59941127,Randi,Gummow,Nu,26/12/2001,940616724
10,30794126,Marcia,Melato,Nu,6/11/2000,123456789
