STT,ID,First Name,Last Name,Total Mark, Final Mark, Midterm Mark, Other Mark
1,21120454,LE CONG,DAT,0,0,0,0
2,20120454,LE CONG,DAT,0,0,0,0
3,56269948,Brigham,De Beauchamp,0,0,0,0
4,90524616,Tatum,Seefeldt,0,0,0,0
5,17984641,Charyl,Buttrey,0,0,0,0
6,61378868,Abeu,Windeatt,0,0,0,0
7,17202127,Duffy,Smowton,0,0,0,0
8,73127172,Nan,Baigent,0,0,0,0
9,89995994,Sandye,Peteri,0,0,0,0
10,22671473,Colleen,Biffin,0,0,0,0
11,68457397,Zola,Stainland,0,0,0,0
12,13912741,Avram,Middlewick,0,0,0,0
13,95847121,Hobey,TRUE,0,0,0,0
14,93198071,Anton,Kinnach,0,0,0,0
15,42794249,Leeland,Deverson,0,0,0,0
16,57467150,Gratia,Crispe,0,0,0,0
17,33910687,Kristofer,Redgrove,0,0,0,0
18,42699449,Siobhan,Chastanet,0,0,0,0
19,35888763,Mattheus,Lent,0,0,0,0
20,35095179,Tandie,Stoneley,0,0,0,0
21,49447834,Maria,Birbeck,0,0,0,0
22,39490843,Malchy,Armour,0,0,0,0
23,34924137,Madella,Perett,0,0,0,0
24,38115133,Merle,Le Merchant,0,0,0,0
25,59924374,Leena,Goldsworthy,0,0,0,0
26,46497505,Erin,Annion,0,0,0,0
27,55823559,Martin,Rolinson,0,0,0,0
28,58671692,Phoebe,Karpychev,0,0,0,0
29,54999499,Xylia,Trower,0,0,0,0
