STT,ID,First Name,Last Name,Total Mark, Final Mark, Midterm Mark, Other Mark
1,20120454,LE CONG,DAT,0,0,0,0
2,53035823,Thorvald,Beaven,0,0,0,0
3,47253007,Lazare,Andrassy,0,0,0,0
4,40730358,Felic,Rushbrooke,0,0,0,0
5,44017436,Farand,Durnian,0,0,0,0
6,40027977,Zelda,Plowell,0,0,0,0
7,34418543,Giffard,Jouanot,0,0,0,0
8,55233532,Bell,Robuchon,0,0,0,0
9,36875042,Norbert,Trahmel,0,0,0,0
10,30040737,Howard,Lantaff,0,0,0,0
11,38026149,Dyane,Kerton,0,0,0,0
12,50849488,Emlyn,Paynton,0,0,0,0
13,44773512,Tadio,Hexam,0,0,0,0
14,50566916,Kylynn,Blackall,0,0,0,0
15,53218790,Alfonse,Allardyce,0,0,0,0
16,50855459,Simonette,Browne,0,0,0,0
17,44150990,Hyacintha,Seiffert,0,0,0,0
18,34911211,Halli,Lethbrig,0,0,0,0
19,48948958,Gillian,Blazeby,0,0,0,0
20,50292990,Reeva,Prugel,0,0,0,0
21,48919839,John,Cordell,0,0,0,0
22,50824855,Artur,Byrom,0,0,0,0
23,31316055,Joleen,Haszard,0,0,0,0
24,33953179,Pieter,Kemwall,0,0,0,0
25,43168304,Yanaton,Boxe,0,0,0,0
26,56533430,Elvina,Menauteau,0,0,0,0
27,35718449,Mozes,Raisbeck,0,0,0,0
28,49133804,Madelon,Armer,0,0,0,0
29,47058072,Deb,Joules,0,0,0,0
30,38454767,Nadya,Ochterlony,0,0,0,0
31,41013880,Candra,Dibling,0,0,0,0
32,41441669,Norby,Defau,0,0,0,0
33,42744028,Lock,Ellerker,0,0,0,0
34,38363282,Drusie,Girardengo,0,0,0,0
35,55665463,Margot,Cauldwell,0,0,0,0
36,57045997,Rockwell,Castellet,0,0,0,0
37,33800901,Jeno,Beyne,0,0,0,0
38,52492844,Nikkie,Killoran,0,0,0,0
39,33588736,Joey,Clawley,0,0,0,0
40,51067518,Binny,Deners,0,0,0,0
41,37122932,Davida,Raspison,0,0,0,0
42,31061596,Edie,Cerro,0,0,0,0
43,54931860,Valentina,Paolino,0,0,0,0
44,30121630,Charmion,Dominik,0,0,0,0
45,48717174,Waverley,Perett,0,0,0,0
46,46047190,Mitch,Garza,0,0,0,0
47,35552183,Jaclin,Neeve,0,0,0,0
48,43272983,Mandi,Shipton,0,0,0,0
