STT,ID,First Name,Last Name,Total Mark, Final Mark, Midterm Mark, Other Mark
1,61378868,Abeu,Windeatt,0,0,0,0
2,76596022,Jackie,Iacovo,0,0,0,0
3,26209623,Dania,Vice,0,0,0,0
4,50080653,Alisun,Bantick,0,0,0,0
5,81255603,Meggie,Mulliner,0,0,0,0
6,94485422,Maurene,Spawton,0,0,0,0
7,76018798,Tyrone,Olliffe,0,0,0,0
8,59250616,Giselle,Albrooke,0,0,0,0
9,67733631,Rand,Hart,0,0,0,0
10,21149479,Paulie,Potteridge,0,0,0,0
11,61693330,Justina,Alldread,0,0,0,0
12,45467460,Olivero,Tyce,0,0,0,0
13,11381501,Wallie,Flippelli,0,0,0,0
14,74604108,Eve,Beesley,0,0,0,0
15,61601421,Georgianne,Bolderoe,0,0,0,0
16,84532755,Kerrin,Bodimeade,0,0,0,0
17,22095742,Omero,Loffhead,0,0,0,0
18,42583576,Clarinda,Minucci,0,0,0,0
19,20298783,Leif,Castanares,0,0,0,0
20,72629021,Merrielle,Orht,0,0,0,0
21,24922870,Hettie,Itshak,0,0,0,0
22,28623309,Margaux,Tomankowski,0,0,0,0
23,32061142,Enoch,Frape,0,0,0,0
24,17202127,Duffy,Smowton,0,0,0,0
25,30794126,Marcia,Melato,0,0,0,0
26,68812883,Garrard,Mettricke,0,0,0,0
27,65614125,Merry,Bartalin,0,0,0,0
28,37437371,Thaine,Vennings,0,0,0,0
29,38130689,Ethelin,De Ruggero,0,0,0,0
30,76919412,Shaw,Gatcliff,0,0,0,0
31,97516200,Tobe,Vannucci,0,0,0,0
32,70456329,Jessy,Kaindl,0,0,0,0
33,43448607,Jean,Ledwich,0,0,0,0
34,57058914,Kirk,McQuorkel,0,0,0,0
35,42769437,Zorah,Kasper,0,0,0,0
36,87585921,Oralee,Clynmans,0,0,0,0
37,50039293,Franklin,Freshwater,0,0,0,0
38,16787540,Jobi,Darko,0,0,0,0
39,22609087,Marmaduke,Edler,0,0,0,0
40,80273505,Laurena,Deeth,0,0,0,0
41,72240882,Laurens,Widdall,0,0,0,0
42,17141741,Pearle,Rays,0,0,0,0
43,36639526,Homerus,Styan,0,0,0,0
44,95540289,Patricia,Myrkus,0,0,0,0
45,27082165,Micki,Grigoliis,0,0,0,0
