STT,ID,First Name,Last Name,Total Mark, Final Mark, Midterm Mark, Other Mark
1,11861644,Giuditta,Albrooke,0,0,0,0
2,68111890,Roth,Hunsworth,0,0,0,0
3,39156716,Robb,Oseman,0,0,0,0
4,60749293,Silvano,Hebner,0,0,0,0
5,78558387,Angelle,Bonsale,0,0,0,0
6,84111941,Carmita,Perview,0,0,0,0
7,12274378,Adrianna,Pearsey,0,0,0,0
8,10235996,Rhodie,Dodshon,0,0,0,0
9,24633332,Caroljean,Fazakerley,0,0,0,0
10,18541678,Allina,Castanho,0,0,0,0
11,31976386,Tulley,Edyson,0,0,0,0
12,50381073,Elonore,Caplis,0,0,0,0
13,16654901,Cahra,Gohn,0,0,0,0
