STT,ID,First Name,Last Name,Total Mark, Final Mark, Midterm Mark, Other Mark
1,92971778,Cati,Knoles,0,0,0,0
2,45536650,Arch,Arnson,0,0,0,0
3,66774001,Abbie,Patrick,0,0,0,0
4,44219348,Hillary,Ives,0,0,0,0
5,95984540,Carmine,Hellings,0,0,0,0
6,92255150,Jeff,Towne,0,0,0,0
7,21149479,Paulie,Potteridge,0,0,0,0
8,61693330,Justina,Alldread,0,0,0,0
9,45467460,Olivero,Tyce,0,0,0,0
10,11381501,Wallie,Flippelli,0,0,0,0
11,74604108,Eve,Beesley,0,0,0,0
12,61601421,Georgianne,Bolderoe,0,0,0,0
13,84532755,Kerrin,Bodimeade,0,0,0,0
14,22095742,Omero,Loffhead,0,0,0,0
15,42583576,Clarinda,Minucci,0,0,0,0
16,31976386,Tulley,Edyson,0,0,0,0
17,50381073,Elonore,Caplis,0,0,0,0
18,16654901,Cahra,Gohn,0,0,0,0
19,16749384,Townie,Franscioni,0,0,0,0
20,79509937,Corinne,Alelsandrowicz,0,0,0,0
21,72891677,Kathe,Teal,0,0,0,0
22,59120714,Koren,Colhoun,0,0,0,0
23,51922705,Drucie,Jellard,0,0,0,0
24,45736793,Ketty,Crothers,0,0,0,0
25,47701273,Lanna,Chang,0,0,0,0
26,38616695,Lars,Littlefield,0,0,0,0
27,55091799,Dana,Halfpenny,0,0,0,0
28,30579316,Mack,Moynihan,0,0,0,0
29,58106104,Gradeigh,Meechan,0,0,0,0
30,32164317,Rossie,Dunican,0,0,0,0
31,53578453,Kandy,Ferbrache,0,0,0,0
32,55695247,Rozella,Brunesco,0,0,0,0
33,51677869,Ervin,Croxon,0,0,0,0
34,37766083,Adina,Birkwood,0,0,0,0
35,38165172,Gino,Hughes,0,0,0,0
