STT,ID,First Name,Last Name,Total Mark, Final Mark, Midterm Mark, Other Mark
1,68812883,Garrard,Mettricke,0,0,0,0
2,65614125,Merry,Bartalin,0,0,0,0
3,37437371,Thaine,Vennings,0,0,0,0
4,38130689,Ethelin,De Ruggero,0,0,0,0
5,76919412,Shaw,Gatcliff,0,0,0,0
6,97516200,Tobe,Vannucci,0,0,0,0
7,70456329,Jessy,Kaindl,0,0,0,0
8,43448607,Jean,Ledwich,0,0,0,0
9,57058914,Kirk,McQuorkel,0,0,0,0
10,42769437,Zorah,Kasper,0,0,0,0
11,87585921,Oralee,Clynmans,0,0,0,0
12,50039293,Franklin,Freshwater,0,0,0,0
13,16787540,Jobi,Darko,0,0,0,0
14,22609087,Marmaduke,Edler,0,0,0,0
15,80273505,Laurena,Deeth,0,0,0,0
16,72240882,Laurens,Widdall,0,0,0,0
17,17141741,Pearle,Rays,0,0,0,0
18,36639526,Homerus,Styan,0,0,0,0
19,95540289,Patricia,Myrkus,0,0,0,0
20,27082165,Micki,Grigoliis,0,0,0,0
21,61965587,Pennie,Doret,0,0,0,0
22,41441669,Norby,Defau,0,0,0,0
23,42744028,Lock,Ellerker,0,0,0,0
24,38363282,Drusie,Girardengo,0,0,0,0
25,55665463,Margot,Cauldwell,0,0,0,0
26,57045997,Rockwell,Castellet,0,0,0,0
27,33800901,Jeno,Beyne,0,0,0,0
28,52492844,Nikkie,Killoran,0,0,0,0
29,33588736,Joey,Clawley,0,0,0,0
30,51067518,Binny,Deners,0,0,0,0
31,37122932,Davida,Raspison,0,0,0,0
32,31061596,Edie,Cerro,0,0,0,0
33,54931860,Valentina,Paolino,0,0,0,0
34,30121630,Charmion,Dominik,0,0,0,0
35,48717174,Waverley,Perett,0,0,0,0
36,46047190,Mitch,Garza,0,0,0,0
37,35552183,Jaclin,Neeve,0,0,0,0
38,43272983,Mandi,Shipton,0,0,0,0
