STT, ID, FirstName, LastName,Gender,DOB,SocialID
1,42794249,Leeland,Deverson,Nam,21/07/2003,734833926
2,57467150,Gratia,Crispe,Nam,04/05/2003,635139997
3,33910687,Kristofer,Redgrove,Nu,14/05/2003,343458706
4,42699449,Siobhan,Chastanet,Nam,04/09/2003,556095854
5,35888763,Mattheus,Lent,Nam,26/02/2003,652099548
6,35095179,Tandie,Stoneley,Nam,01/05/2003,156624300
7,49447834,Maria,Birbeck,Nu,03/08/2003,656760496
8,39490843,Malchy,Armour,Nam,05/02/2003,870420354
9,34924137,Madella,Perett,Nam,24/02/2003,658206547
10,38115133,Merle,Le Merchant,Nam,23/09/2003,918038723
11,59924374,Leena,Goldsworthy,Nu,06/02/2003,512672881
12,46497505,Erin,Annion,Nam,13/08/2003,222330098
13,55823559,Martin,Rolinson,Nam,10/05/2003,154304824
14,58671692,Phoebe,Karpychev,Nam,21/05/2003,664744160
15,54999499,Xylia,Trower,Nam,12/05/2003,792291809
