STT,ID,First Name,Last Name,Total Mark, Final Mark, Midterm Mark, Other Mark
1,20120470,NGUYEN VAN,HAO,0,0,0,0
2,50566916,Kylynn,Blackall,0,0,0,0
3,53218790,Alfonse,Allardyce,0,0,0,0
4,50855459,Simonette,Browne,0,0,0,0
5,44150990,Hyacintha,Seiffert,0,0,0,0
6,34911211,Halli,Lethbrig,0,0,0,0
7,48948958,Gillian,Blazeby,0,0,0,0
8,50292990,Reeva,Prugel,0,0,0,0
9,48919839,John,Cordell,0,0,0,0
10,50824855,Artur,Byrom,0,0,0,0
11,31316055,Joleen,Haszard,0,0,0,0
12,33953179,Pieter,Kemwall,0,0,0,0
13,43168304,Yanaton,Boxe,0,0,0,0
14,56533430,Elvina,Menauteau,0,0,0,0
15,35718449,Mozes,Raisbeck,0,0,0,0
16,49133804,Madelon,Armer,0,0,0,0
17,47058072,Deb,Joules,0,0,0,0
18,38454767,Nadya,Ochterlony,0,0,0,0
19,13924650,Auroora,Searight,0,0,0,0
20,12341234,Nguyen,A,0,0,0,0
21,20120471,Nguyen Van,A,0,0,0,0
22,20120484,Tran Van,B,0,0,0,0
23,12341231,Tran,Tho,0,0,0,0
24,12315516,Tran,Huu,0,0,0,0
25,12314515,Tran,Hung,0,0,0,0
26,20120789,Nguyen Thi,C,0,0,0,0
27,12341235,Tran,Nam,0,0,0,0
28,65569711,Masha,Mackison,0,0,0,0
29,72505323,Orlan,Clampton,0,0,0,0
30,43613800,Pam,Fittes,0,0,0,0
31,97407544,Angus,Ells,0,0,0,0
32,18886479,Shel,Cheal,0,0,0,0
33,11861644,Giuditta,Albrooke,0,0,0,0
