STT, ID, FirstName, LastName,Gender,DOB,SocialID
1,22671473,Colleen,Biffin,Nu,3/8/2000,937364740
2,68457397,Zola,Stainland,Nu,2/5/2001,820037389
3,68812883,Garrard,Mettricke,Nam,14/03/2001,694605578
4,65614125,Merry,Bartalin,Nam,24/11/2000,551747183
5,37437371,Thaine,Vennings,Nam,6/1/2002,653529779
6,38130689,Ethelin,De Ruggero,Nu,12/12/2001,944825081
7,76919412,Shaw,Gatcliff,Nam,18/01/2002,156843808
8,97516200,Tobe,Vannucci,Nam,16/02/2002,944628542
9,70456329,Jessy,Kaindl,Nam,23/06/2000,523474377
10,43448607,Jean,Ledwich,Nu,18/02/2001,332033486
