STT, ID, FirstName, LastName,Gender,DOB,SocialID
1,57058914,Kirk,McQuorkel,Nam,25/04/2001,917372709
2,42769437,Zorah,Kasper,Nam,24/11/2002,780761757
3,87585921,Oralee,Clynmans,Nu,2/9/2002,212696343
4,50039293,Franklin,Freshwater,Nu,15/08/2002,75339759
5,16787540,Jobi,Darko,Nam,13/03/2001,517954733
6,22609087,Marmaduke,Edler,Nam,27/08/2000,89724887
7,80273505,Laurena,Deeth,Nu,26/12/2000,559563585
8,72240882,Laurens,Widdall,Nam,16/02/2002,499427926
9,17141741,Pearle,Rays,Nu,21/10/2000,9895591
10,36639526,Homerus,Styan,Nam,22/09/2001,978094025
