STT,ID,First Name,Last Name,Total Mark, Final Mark, Midterm Mark, Other Mark
1,36719502,Joana,Peoples,0,0,0,0
2,62813426,Bettina,Aplin,0,0,0,0
3,36604847,Les,Sturley,0,0,0,0
4,61758959,Efren,Gillani,0,0,0,0
5,41017036,Erastus,Mogey,0,0,0,0
6,13912741,Avram,Middlewick,0,0,0,0
7,95847121,Hobey,TRUE,0,0,0,0
8,93198071,Anton,Kinnach,0,0,0,0
9,50592170,Debbi,Mcwhinney,0,0,0,0
10,10748046,Georg,Nusche,0,0,0,0
11,41561985,Sadye,Symson,0,0,0,0
12,45628078,Rey,Mahy,0,0,0,0
13,13462565,Pate,Benet,0,0,0,0
14,92249766,Dav,Sheraton,0,0,0,0
15,65217255,Sidonnie,Thickin,0,0,0,0
16,98883431,Leilah,Stimson,0,0,0,0
17,29261875,Sawyere,Westcarr,0,0,0,0
18,84794780,Lotti,Guymer,0,0,0,0
19,45889122,Paxton,Fitchen,0,0,0,0
20,30358273,Jacqueline,Degg,0,0,0,0
21,37070284,Hort,Bautiste,0,0,0,0
22,11924259,Cyrill,Tomaskunas,0,0,0,0
23,40492748,Arley,Stammers,0,0,0,0
24,80700928,Darren,Mullin,0,0,0,0
25,56478726,Conny,Haughey,0,0,0,0
26,82672261,Penn,Dalgetty,0,0,0,0
27,66654114,Jo,Bearcroft,0,0,0,0
28,71194887,Eliza,Onion,0,0,0,0
29,80558395,Lia,Delgua,0,0,0,0
